"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Probabilistic Appearance-Invariant Topometric Localization With New Place Awareness","M. Xu; T. Fischer; N. Sünderhauf; M. Milford","QUT Centre for Robotics, Queensland University of Technology, Brisbane, QLD, Australia; QUT Centre for Robotics, Queensland University of Technology, Brisbane, QLD, Australia; QUT Centre for Robotics, Queensland University of Technology, Brisbane, QLD, Australia; QUT Centre for Robotics, Queensland University of Technology, Brisbane, QLD, Australia",IEEE Robotics and Automation Letters,"26 Jul 2021","2021","6","4","6985","6992","Probabilistic state-estimation approaches offer a principled foundation for designing localization systems, because they naturally integrate sequences of imperfect motion and exteroceptive sensor data. Recently, probabilistic localization systems utilizing appearance-invariant visual place recognition (VPR) methods as the primary exteroceptive sensor have demonstrated state-of-the-art performance in the presence of substantial appearance change. However, existing systems 1) do not fully utilize odometry data within the motion models, and 2) are unable to handle route deviations, due to the assumption that query traverses exactly repeat the mapping traverse. To address these shortcomings, we present a new probabilistic topometric localization system which incorporates full 3-dof odometry into the motion model and furthermore, adds an “off-map” state within the state-estimation framework, allowing query traverses which feature significant route detours from the reference map to be successfully localized. We perform extensive evaluation on multiple query traverses from the Oxford RobotCar dataset exhibiting both significant appearance change and deviations from routes previously traversed. In particular, we evaluate performance on two practically relevant localization tasks: loop closure detection and global localization. Our approach achieves major performance improvements over both existing and improved state-of-the-art systems.","2377-3766","","10.1109/LRA.2021.3096745","Australian Government(grant numbers:AUSMURIB000001); ONR MURI(grant numbers:N00014-19-1-2571); Queensland University of Technology; Centre for Robotics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9484728","Localization;autonomous vehicle navigation;vision-based navigation","Location awareness;Probabilistic logic;Indexes;Task analysis;Visualization;Smoothing methods;Navigation","","10","","34","IEEE","14 Jul 2021","Oct. 2021","","IEEE","IEEE Journals"
"Robust Neural Visual Inertial Odometry With Deep Velocity Constraint","P. Gu; P. Zhou; Z. Meng","Department of Precision Instrument, Tsinghua University, Beijing, China; Department of Precision Instrument, Tsinghua University, Beijing, China; Department of Precision Instrument, Tsinghua University, Beijing, China",IEEE Robotics and Automation Letters,"1 Oct 2024","2024","9","11","9797","9804","Visual inertial odometry (VIO) is a popular solution for localization in the GPS-denied environment. However, current VIO algorithms' performance degrades in the visual degraded environment due to limited visual features. This paper presents a robust VIO algorithm with learned velocity constraints. In particular, an encoder-decoder neural network augmented with the attention mechanism is employed to estimate the instant velocity and its uncertainty based on the IMU measurement. Then the learned velocities serve as the pseudo-measurement and fused with the inertial and visual measurement within a standard optimization framework to obtain an accurate and robust localization result. The key idea of this work is that the velocity constraint learned from the inertial measurement can effectively prevent the divergence of the VIO in the visual degraded environment without introducing any new sensors and better model the short-term characteristics of the motion compared to the previous neural VIO algorithms based on the displacement vector. Experiments on the public dataset demonstrate that the proposed VIO algorithm operates robustly under the low-visibility condition and obtains higher localization accuracy compared with other state-of-the-art algorithms. We will share code and models.","2377-3766","","10.1109/LRA.2024.3466073","National Key R&D Program of China(grant numbers:2022ZD0119601); National Natural Science Foundation of China(grant numbers:62273195); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685121","Inertial odometry;pedestrian localization;VIO","Robot localization;Prediction algorithms;Velocity measurement;Visualization;Odometry;Accuracy;Uncertainty","","9","","33","IEEE","20 Sep 2024","Nov. 2024","","IEEE","IEEE Journals"
"Bistatic simultaneous transmitter localization and mapping","M. Michaelis","Fraunhofer FKIE, Wachtberg, Germany","2015 Sensor Data Fusion: Trends, Solutions, Applications (SDF)","17 Dec 2015","2015","","","1","6","In a bistatic scenario, we consider the task of simultaneously estimating the positions of a non-cooperative transmitter and landmarks that reflect the transmitted signal, generating bistatic measurements at the receiver. Neither the position of the transmitter, nor the timing of transmissions are known to the receiver. With the use of the horizontal multi-path measurements caused by multiple reflection at the landmarks, the estimation of the unknown landmark locations is possible conditional upon the knowledge of the transmitter position. Thus two interdependent estimation problems arise in a similar fashion to the simultaneous localization and mapping (SLAM) problem. An approach using a factorized density in a similar way to FastSLAM 2.0 is used. In contrast to the SLAM problem, the differing receiver and transmitter positions lead to a measurement function that is not only non-linear but also non-invertible. Due to the nature of the measurements, a particle filter is used to estimate the landmark as well as the transmitter receiver system state. A practical example for simulations consists of an autonomous underwater vehicle (AUV) equipped with a towed hydrophone antenna array.","","978-1-4673-7175-9","10.1109/SDF.2015.7347708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7347708","","Receivers;Transmitters;Atmospheric measurements;Particle measurements;Simultaneous localization and mapping;Position measurement;Time measurement","","3","","34","IEEE","17 Dec 2015","6-8 Oct. 2015","6-8 Oct. 2015","IEEE","IEEE Conferences"
"UAV Aided Range Free Localisation of Heterogeneous Sensor Networks","D. S. Jasrotia; M. J. Nene","Department of Aerospace Engineering, Defence Institute of Advanced Technology, (Deemed University) Girinagar, Pune, India; Department of Computer Engineering, Defence Institute of Advanced Technology, (Deemed University) Girinagar, Pune, India",2020 5th International Conference on Communication and Electronics Systems (ICCES),"10 Jul 2020","2020","","","453","458","Wireless Sensor Network (WSN) is a technology that is apt for applications in harsh environment. The constraint in terms of energy and computation power forces one to adopt protocols and processes which don't impinge on the constrained parameters. Localisation is one such process which is important for any WSN application to provide geo-location context.In this study the focus is on optimising Unmanned Aerial Vehicle (UAV) aided range free model for an environment where nodes have different communication ranges(hence called Heterogeneous Sensor Network). It aims at balancing between accuracy and reducing path length needed in the process of localisation. The proposed model reduces average localisation error, number of nodes not found without significant increase in path length of the UAV.","","978-1-7281-5371-1","10.1109/ICCES48766.2020.9137975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9137975","UAV;WSN;Range Free Localisation;Optimisation","Wireless sensor networks;Protocols;Costs;Computational modeling;Estimation;Autonomous aerial vehicles;Rendering (computer graphics)","","","","20","IEEE","10 Jul 2020","10-12 June 2020","10-12 June 2020","IEEE","IEEE Conferences"
"SLAM-Based Joint Calibration of Multiple Asynchronous Microphone Arrays and Sound Source Localization","J. Wang; Y. He; D. Su; K. Itoyama; K. Nakadai; J. Wu; S. Huang; Y. Li; H. Kong","Shenzhen Key Laboratory of Control Theory and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China; Shenzhen Key Laboratory of Control Theory and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China; College of Engineering, China Agricultural University, Beijing, China; Department of Systems and Control Engineering, Tokyo Institute of Technology, Tokyo, Japan; Department of Systems and Control Engineering, Tokyo Institute of Technology, Tokyo, Japan; School of Data Science, The Chinese University of Hong Kong, Shenzhen, China; Robotics Institute, University of Technology Sydney, Sydney, NSW, Australia; Department of Mechanical Engineering, City University of Hong Kong, Hong Kong; Shenzhen Key Laboratory of Control Theory and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China",IEEE Transactions on Robotics,"12 Sep 2024","2024","40","","4024","4044","Robot audition systems with multiple microphone arrays have many applications in practice. However, the accurate calibration of multiple microphone arrays remains challenging because there are many unknown parameters to be identified, including the relative transforms (i.e., orientation and translation) and asynchronous factors (i.e., initial time offset and sampling clock difference) between microphone arrays. To tackle these challenges, in this article, we adopt batch simultaneous localization and mapping (SLAM) for joint calibration of multiple asynchronous microphone arrays and sound source localization. Using the Fisher information matrix (FIM) approach, we first conduct the observability analysis (i.e., parameter identifiability) of the abovementioned calibration problem and establish necessary/sufficient conditions under which the FIM and the Jacobian matrix have full column rank, which implies the identifiability of the unknown parameters. We also discover several scenarios where the unknown parameters are not uniquely identifiable. Subsequently, we propose an effective framework to initialize the unknown parameters, which is used as the initial guess in batch SLAM for multiple microphone array calibration, aiming to further enhance optimization accuracy and convergence. Extensive numerical simulations and real experiments have been conducted to verify the performance of the proposed method. The experimental results show that the proposed pipeline achieves higher accuracy with fast convergence in comparison to methods that use the noise-corrupted ground truth of the unknown parameters as the initial guess in the optimization and other existing frameworks.","1941-0468","","10.1109/TRO.2024.3410456","Science, Technology, and Innovation Commission of Shenzhen Municipality, China(grant numbers:ZDSYS20220330161800001); Shenzhen Science and Technology Program(grant numbers:KQTD20221101093557010); National Natural Science Foundation of China(grant numbers:62350055); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551479","Multiple microphone array calibration;robot audition;simultaneous localization and mapping (SLAM);sound source localization","Microphone arrays;Calibration;Simultaneous localization and mapping;Clocks;Location awareness;Acoustic measurements","","27","","51","IEEE","6 Jun 2024","2024","","IEEE","IEEE Journals"
"Distributed Dynamic State Estimation for Microgrids","B. L. H. Nguyen; T. V. Vu; T. H. Ortmeyer; T. Ngo","ECE Department, Clarkson University, Potsdam, NY, USA; ECE Department, Clarkson University, Potsdam, NY, USA; ECE Department, Clarkson University, Potsdam, NY, USA; Electric Power Engineers, Austin, Texas",2020 IEEE Power & Energy Society General Meeting (PESGM),"16 Dec 2020","2020","","","1","5","Conventionally, the dynamic state estimation of variables in power networks is performed based on the forecasting-aided model of bus voltages. This approach is effective in the stiff grids at the transmission level, where the bus voltages are less sensitive to variations of the load. However, in microgrids, bus voltages can fluctuate significantly under load changes, the forecasting-aided model may not sufficiently accurate. To resolve this problem, this paper proposes a dynamic state estimation scheme for microgrids using the state-space model derived from differential equations of power networks. In the proposed scheme, the branch currents are the state variables, whereas the bus voltages become the inputs which can vary freely with loads. As a result, the entire microgrids system can be partitioned into local areas, where neighbor areas share the common inputs. The proposed estimation scheme then can be implemented in a distributed manner. A novel Kalman-based filtering method is derived to estimate both states and inputs simultaneously. Only information of common inputs is exchanged between neighboring estimators. Simulation results of the 13-bus Potsdam microgrid (New York State) are provided to prove the feasibility and performances of the proposed scheme.","1944-9933","978-1-7281-5508-1","10.1109/PESGM41954.2020.9281461","Office of Naval Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9281461","Bad data detection;dynamic state estimation;distributed scheme;data fusion;microgrids","Filtering;Simulation;Microgrids;Predictive models;State-space methods;State estimation;Load modeling","","5","","19","IEEE","16 Dec 2020","2-6 Aug. 2020","2-6 Aug. 2020","IEEE","IEEE Conferences"
"RSS-Based Localization using A Single Robot in Complex Environments","H. Guo; I. Quartey; C. Green","Engineering Department, Norfolk State University, VA, USA; Engineering Department, Norfolk State University, VA, USA; Engineering Department, Norfolk State University, VA, USA",2022 18th International Conference on Distributed Computing in Sensor Systems (DCOSS),"12 Sep 2022","2022","","","364","371","This paper considers the problem of localizing a static transmitter using a robot with a single receiving antenna and a single communication channel in unknown complex environments. Existing solutions using Time-of-Arrival (TOA) and Angle-of-Arrival (AOA) rely on complex wireless communication systems with multiple receive antennas or multiple communication channels, which are not available for robots with off-the-shelf low-cost radios. This paper develops a localization framework using Received Signal Strength (RSS) to estimate unknown channel model parameters considering multipath fading and spatial-correlated shadowing effects. The robot moves along a predefined trajectory to collect RSS data. AOA information is also estimated and integrated with the robot SLAM (Simultaneous Localization and Mapping) results to improve the localization accuracy. Numerical simulations and experiments in an indoor environment are conducted. Results show that 90% of the estimation error is smaller than 2 m to localize a randomly placed transmitter in a 10 × 10 m2 area.","2325-2944","978-1-6654-9512-7","10.1109/DCOSS54816.2022.00065","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881636","Complex environment;estimation;localization;received signal strength;robot;sensor data processing;wireless channel model","Location awareness;Wireless communication;Fading channels;Simultaneous localization and mapping;Radio transmitters;Receiving antennas;Numerical simulation","","3","","27","IEEE","12 Sep 2022","30 May-1 June 2022","30 May-1 June 2022","IEEE","IEEE Conferences"
"Real-Time Onboard Mapping and Localization of an Indoor MAV Using Laser Range Finder","S. Peng; W. Xinhua; Y. Yurong","College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Automation Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2017 4th International Conference on Information Science and Control Engineering (ICISCE),"16 Nov 2017","2017","","","1612","1617","In this paper, we focus on the problem of micro aerial vehicle's (MAV's) localization in unknown, GPS-denied indoor condition. For this problem, we present a system to obtain the pose estimation and the occupancy grid map of the environment by using laser range finder. In addition, to improve the accuracy and robustness of tracking algorithm, we design a method by fusing the pose estimation from SLAM with IMU data. Furthermore, because of the length of the corridor may exceed the measurement range of the laser range finder, we specifically put forward an approach by fusing optical flow and IMU to compensate the error for this. Plenty of real flights and static precision experiments have proved the validity and accuracy of the proposed method.","","978-1-5386-3013-6","10.1109/ICISCE.2017.336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8110563","componen;MAV;GPS-denied;SLAM;Laser;cooridor environment;optical flow","Simultaneous localization and mapping;Measurement by laser beam;Pose estimation;Two dimensional displays;Data integration;Process control;Laser fusion","","2","","15","IEEE","16 Nov 2017","21-23 July 2017","21-23 July 2017","IEEE","IEEE Conferences"
"Multi-Directional Pixel Array Computation for Efficient Pupil Localization in Gaze Estimation","Z. Ren; F. Fang; R. Niu; M. Li","State Key Laboratory of Precision Measuring Technology and Instruments, Laboratory of Micro/Nano Manufacturing Technology (MNMT), Tianjin University, Tianjin, China; State Key Laboratory of Precision Measuring Technology and Instruments, Laboratory of Micro/Nano Manufacturing Technology (MNMT), Tianjin University, Tianjin, China; State Key Laboratory of Precision Measuring Technology and Instruments, Laboratory of Micro/Nano Manufacturing Technology (MNMT), Tianjin University, Tianjin, China; State Key Laboratory of Precision Measuring Technology and Instruments, Laboratory of Micro/Nano Manufacturing Technology (MNMT), Tianjin University, Tianjin, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"24 Sep 2025","2025","9","5","3386","3398","Accurate pupil localization is a crucial requirement in gaze estimation, which can be employed to enhance the performance of human-computer interactions. Due to the complexity of practical scenarios, as well as the real-time and accuracy requirements of calculation, accurate pupil localization with robustness and real-time is still a challenging pattern recognition task. This study proposes a new pupil localization method based on Multi-directional Pixel Array Computation (MPAC), together with several optimization strategies including rotation transformation and pixel-array rotation similarity index. These strategies can further improve the localization accuracy by regulating pixel array distribution and fine-tuning the initial localization, respectively. For the application in gaze estimation, the proposed pupil localization method is encapsulated as a light-weight module and integrated into the gaze estimation model. To assess the accuracy and real-time performance of the proposed pupil localization method and compare it with the currently available methods, experiments on the BioID benchmark dataset were implemented. Furthermore, the training and test experiments of gaze estimation models were carried out to verify the contribution of the pupil localization module in improving the performance of gaze estimation. Experimental results show that the proposed method for robust and efficient pupil localization can be employed to achieve comparable performance with state-of-the-art learning-free methods. It has less computational complexity and achieves nearly real-time pupil localization with around 60 frames per second on the BioID benchmark dataset. Moreover, the proposed pupil localization method can be encapsulated as a callable module to improve the test accuracy of the gaze estimation models.","2471-285X","","10.1109/TETCI.2025.3526499","National Natural Science Foundation of China(grant numbers:52035009); Tianjin Research Innovation Project for Postgraduate Students(grant numbers:2021YJSB161); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10844350","Eye detection;gaze estimation;model fusion;multi-directional search;pupil localization","Location awareness;Pupils;Estimation;Accuracy;Feature extraction;Real-time systems;Indexes;Computational modeling;Learning systems;Iris;Gaze tracking","","1","","60","IEEE","17 Jan 2025","Oct. 2025","","IEEE","IEEE Journals"
"Voxel-Based Localization and Mapping for Multirobot System in GPS-Denied Environments","H. Shen; Q. Zong; B. Tian; H. Lu","School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China; School of Electrical and Information Engineering, Tianjin University, Tianjin, China",IEEE Transactions on Industrial Electronics,"4 May 2022","2022","69","10","10333","10342","Collaboration localization and mapping in GPS-denied environments is a challenging problem, due to the computing power and communication bandwidth constraints of onboard equipment. In this article, a voxel-based localization and mapping system is developed, which achieves real-time trajectory estimation for the multirobot system utilizing only onboard sensors, computing power, and communication module. The key idea of the voxel-based matching approach is to formulate the registration problem as a maximum a posteriori (MAP) problem and to simplify it to a nonlinear least-squares problem using Gauss approximation and principal component analysis (PCA). The voxel-based matching method significantly improves the computational efficiency and reduces the communication bandwidth of the localization and mapping system. The effectiveness of the proposed method is demonstrated through experiments in real-world environments for various scenarios.","1557-9948","","10.1109/TIE.2022.3153822","National Key Research and Development Program of China(grant numbers:2018AAA0102401); National Natural Science Foundation of China(grant numbers:62073234,62022060,61873340,61773278); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724114","Global positioning systems (GPS)-denied environments;lidar-based perception;multirobot system;sensor fusion;state estimation","Robots;Location awareness;Multi-robot systems;State estimation;Bandwidth;Real-time systems;Laser radar","","32","","32","IEEE","1 Mar 2022","Oct. 2022","","IEEE","IEEE Journals"
"Global localization of Monte Carlo localization based on multi-objective particle swarm optimization","C. -H. Chien; C. -C. Hsu; W. -Y. Wang; W. -C. Kao; C. -J. Chien","Department of Electrical Engineering, National Taiwan Normal University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan Normal University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan Normal University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan Normal University, Taipei, Taiwan; Department of Electronic Engineering, Huafan University, Taipei, Taiwan",2016 IEEE 6th International Conference on Consumer Electronics - Berlin (ICCE-Berlin),"27 Oct 2016","2016","","","96","97","Premature convergence often happens when a Monte Carlo localization (MCL) algorithm tries to localize a robot under highly symmetrical environments. In this paper, we propose a novel method of solving such problem for global localization by incorporating a multi-objective evolutionary approach to resample particles with two objectives, including particle weights and population distribution. By employing a multi-objective particle swarm optimization (MOPSO), our approach is capable of enhancing the exploration ability to improve population diversity while maintaining convergence quality to successfully localize the global optima. Simulation results have confirmed that localization performance using the proposed approach is significantly improved.","","978-1-5090-2096-6","10.1109/ICCE-Berlin.2016.7684728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7684728","Premature Convergence;Monte Carlo localization;Multi-Objective Particle Swarm Optimization;Global Localization","Convergence;Robot sensing systems;Monte Carlo methods;Sociology;Particle swarm optimization","","5","","7","IEEE","27 Oct 2016","5-7 Sept. 2016","5-7 Sept. 2016","IEEE","IEEE Conferences"
"A Selective Anchor Node Method Based on Tetrahedral Volume for Three- dimensional DFL Node Self-localization","B. Huang; X. Qin; J. Yang; M. Wang","School of Mechanical Engineering, NanJing University of Science and Technology, NanJing, China; School of Mechanical Engineering, NanJing University of Science and Technology, NanJing, China; School of Mechanical Engineering, NanJing University of Science and Technology, NanJing, China; School of Mechanical Engineering, NanJing University of Science and Technology, NanJing, China","2020 International Conference on Sensing, Measurement & Data Analytics in the era of Artificial Intelligence (ICSMD)","24 Nov 2020","2020","","","240","243","Device free localization (DFL) has become one of the promising techniques for object detection, positioning and tracking. The DFL system does not require any electronic device to be attached on the target. It relies the variance of the received signal strength (RSS) of the communication link between every two sensor nodes to locate the target in the monitoring area. Thus, the localization of each sensor node has tight relationship with the accuracy of the DFL. However, the state of the art always assume that the localization of all sensor node has been known beforehand and rely on measuring the coordinate of the sensor nodes manually one by one, which is a very time-consuming and manpower intensive job. In this paper, we propose a self-localization method for sensor nodes in the scenario of three-dimensional DFL. Specifically, we utilize the tetrahedral volume method to select the optimal anchor nodes, and then applying the maximum likelihood estimation algorithm to locate the sensor node. Field experiments shows that the three-dimensional DFL node self-localization technique can locate the sensor node precisely.","","978-1-7281-9277-2","10.1109/ICSMD50554.2020.9261714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261714","self-localization;device free localization;three-dimensional;RSS;wireless sensor networks","Mathematical model;Wireless sensor networks;Solid modeling;Wireless communication;Position measurement;Mechanical engineering;Maximum likelihood estimation","","","","15","IEEE","24 Nov 2020","15-17 Oct. 2020","15-17 Oct. 2020","IEEE","IEEE Conferences"
"Distributed Leader-Assistive Localization Method for a Heterogeneous Multirobotic System","T. R. Wanasinghe; G. K. I. Mann; R. G. Gosine","Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. Johns, NL, Canada; Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. Johns, NL, Canada; Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. Johns, NL, Canada",IEEE Transactions on Automation Science and Engineering,"17 Jul 2015","2015","12","3","795","809","This paper presents a distributed leader-assistive localization approach for a heterogeneous multirobotic system (MRS). The localization algorithm is formulated to estimate the position and orientation (pose) of a group of robots in a given reference coordinate frame (or global coordinate frame). It is assumed that the heterogeneous-MRS has one or a group of robots (which we refer as leader robots) with higher sensor payload, higher processing power, and larger memory capacity, enabling accurate self-localization capabilities. Robots with limited resources (which we refer as child robots) rely on leader robots, and inter-robot observations between leaders and themselves for localization. Finite-range sensing is a key challenge for such leader-assistive localization. This study presents a sensor sharing technique which virtually enhances the sensing range of leader robots. In the proposed method, each robot locally runs a cubature Kalman filter to estimate its own pose and hosts a low cost, lightweight, and low-power sensory system to periodically measure relative pose of neighbors. Each robot transmits these relative pose measurements to leader robots. Leader robots then combine available relative observations in order to synthesise global pose measurements and associated noise covariances for child robots. Child robots are acknowledged by the leader robots with the synthesized global pose measurements and fuse these measurements with their local belief in order to improve their localization. Theoretical developments are presented to virtually enhance the leader robots’ sensing range. The performance of the proposed distributed leader-assistive localization algorithm is evaluated on a multirobot simulation test-bed and on a publicly available multirobot localization and mapping data-set. The results illustrate that the proposed algorithm is capable of establishing accurate and consistent localization for the child robots even when they operate beyond the sensing range of the leader robots.","1558-3783","","10.1109/TASE.2015.2433014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7114338","Consistent state estimation;distributed state estimation;finite-range sensing;heterogeneous multirobotic systems;leader-assistive navigation;multirobot localization","Robot sensing systems;Robot kinematics;Estimation;Collision avoidance;Navigation","","32","","45","IEEE","1 Jun 2015","July 2015","","IEEE","IEEE Journals"
"3D self-localization for humanoid robots using view regression and odometry","R. Carrillo Mendoza; P. Vera Bustamante; Brian; E. Hernández Castillo; J. M. Ibarra Zannatha","Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional, Ciudad de Mexico, Ciudad de MÃ©xico, MX; Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional, Ciudad de Mexico, Ciudad de MÃ©xico, MX; Automatic Control Department. CINVESTAV. México D.F., Mexico; Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional, Ciudad de Mexico, Ciudad de MÃ©xico, MX; Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional, Ciudad de Mexico, Ciudad de MÃ©xico, MX","2015 12th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","17 Dec 2015","2015","","","1","5","The ambience of research in VSLAM and relocalization algorithms in the last few years allure with real-time localization and increased precision for RGBD or stereo cameras but with ambivalence requesting higher computational capacity or more expensive sensors. The aim of this paper is to present a gentle algorithm to locate a humanoid robot using relocalization view based algorithms and odometry information using general regression with Nadayara-Watson kernel for applications where the area is already known such as RoboCup competitions or service robots.","","978-1-4673-7839-0","10.1109/ICEEE.2015.7357988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7357988","self-localization;relocalization;odometry;monocular camera","Robot kinematics;Trajectory;Simultaneous localization and mapping;Cameras;Robot vision systems;Computational efficiency","","","","16","IEEE","17 Dec 2015","28-30 Oct. 2015","28-30 Oct. 2015","IEEE","IEEE Conferences"
"Assistant Vehicle Localization Based on Three Collaborative Base Stations via SBL-Based Robust DOA Estimation","H. Wang; L. Wan; M. Dong; K. Ota; X. Wang","State Key Laboratory of Marine Resource Utilization in South China Sea, College of Information Science and Technology, Hainan University, Haikou, China; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, China; Department of Information and Electronic Engineering, Muroran Institute of Technology, Muroran, Japan; Department of Information and Electronic Engineering, Muroran Institute of Technology, Muroran, Japan; State Key Laboratory of Marine Resource Utilization in South China Sea, College of Information Science and Technology, Hainan University, Haikou, China",IEEE Internet of Things Journal,"18 Jun 2019","2019","6","3","5766","5777","As a promising research area in Internet of Things (IoT), Internet of Vehicles (IoV) has attracted much attention in wireless communication and network. In general, vehicle localization can be achieved by the global positioning systems (GPSs). However, in some special scenarios, such as cloud cover, tunnels or some places where the GPS signals are weak, GPS cannot perform well. The continuous and accurate localization services cannot be guaranteed. In order to improve the accuracy of vehicle localization, an assistant vehicle localization method based on direction-of-arrival (DOA) estimation is proposed in this paper. The assistant vehicle localization system is composed of three base stations (BSs) equipped with a multiple input multiple output (MIMO) array. The locations of vehicles can be estimated if the positions of the three BSs and the DOAs of vehicles estimated by the BSs are known. However, the DOA estimated accuracy maybe degrade dramatically when the electromagnetic environment is complex. In the proposed method, a sparse Bayesian learning (SBL)-based robust DOA estimation approach is first proposed to achieve the off-grid DOA estimation of the target vehicles under the condition of nonuniform noise, where the covariance matrix of nonuniform noise is estimated by a least squares (LSs) procedure, and a grid refinement procedure implemented by finding the roots of a polynomial is performed to refine the grid points to reduce the off-grid error. Then, according to the DOA estimation results, the target vehicle is cross-located once by each two BSs in the localization system. Finally, robust localization can be realized based on the results of three-time cross-location. Plenty of simulation results demonstrate the effectiveness and superiority of the proposed method.","2327-4662","","10.1109/JIOT.2019.2905788","National Natural Science Foundation of China(grant numbers:61701144,61801076); Young Elite Scientists Sponsorship Program by CAST(grant numbers:2018QNRC001); Program of Hainan Association for Science and Technology Plans to Youth Research and Development Innovation(grant numbers:QCXM201706); Scientific Research Projects of University in Hainan Province(grant numbers:Hnky2018ZD-4); Major Science and Technology Project of Hainan Province(grant numbers:ZDKJ2016015); Hainan University(grant numbers:KYQD(ZR)1731); Japan Society for the Promotion of Science(grant numbers:JP16K00117); KDDI Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8668514","Base station (BS);direction-of-arrival (DOA) estimation;nonuniform noise;off-grid error;sparse Bayesian learning (SBL);vehicle localization","Direction-of-arrival estimation;Estimation;Internet of Things;MIMO communication;Base stations;Global Positioning System;Bayes methods","","204","","44","IEEE","17 Mar 2019","June 2019","","IEEE","IEEE Journals"
